player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_won_played,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
Bradleyvilla,Ascend,242,264.7,1.51,156.5,0.63,0.34,0.25,0.12,27.0,39.6,0.79,152,365,82,60,29,6,Killjoy,Japan
Bakerterri,Mystic,278,331.1,1.39,187.2,0.97,0.27,0.16,0.05,37.8,12.8,0.83,270,386,75,44,14,5,Astra,Russia
Sabrina18,Legion,442,322.3,1.03,163.0,1.15,0.72,0.25,0.2,24.3,65.0,0.12,508,455,318,110,88,5,Breach,Russia
Sfischer,Phantom,222,322.7,1.25,139.7,1.1,0.3,0.11,0.11,32.1,45.5,0.83,244,278,67,24,24,6,Astra,China
Jeffrey74,Rising,330,297.0,1.73,226.2,1.34,0.28,0.14,0.11,27.2,37.7,0.9,442,571,92,46,36,5,Yoru,ME
Adrian40,Nebula,456,314.8,1.64,159.5,0.87,0.35,0.24,0.06,32.4,52.3,0.58,397,748,160,109,27,4,Omen,LATAM
Jrussell,Rising,435,270.6,1.65,167.0,1.49,0.25,0.36,0.18,54.0,28.1,0.18,648,718,109,157,78,3,Yoru,China
Greershane,OrgZ,291,268.5,1.22,190.6,1.09,0.38,0.18,0.01,31.3,26.0,0.99,317,355,111,52,3,2,Brimstone,China
Stephenbeck,T1A,113,305.1,1.6,177.9,1.07,0.38,0.2,0.01,39.3,45.9,0.22,121,181,43,23,1,4,Astra,Japan
Sconway,Nebula,300,291.1,1.23,184.7,0.92,0.47,0.15,0.08,28.3,34.1,0.27,276,369,141,45,24,2,Viper,Japan
Joseph17,Radiant,159,283.6,0.93,176.3,0.77,0.45,0.14,0.09,40.3,14.2,0.12,122,148,72,22,14,3,Brimstone,Japan
Jessica32,Revolution,259,307.1,1.11,188.5,1.23,0.68,0.2,0.16,39.0,67.8,0.26,319,287,176,52,41,1,KAY/O,Oceania
Amandapage,Nebula,143,331.0,1.68,191.8,1.17,0.84,0.2,0.19,32.1,46.5,0.17,167,240,120,29,27,1,Breach,NA
Along,Quantum,304,283.1,1.34,171.0,1.57,0.3,0.23,0.17,26.9,40.4,0.68,477,407,91,70,52,7,Yoru,NA
Randy48,Pulse,169,276.6,0.99,185.5,0.64,0.36,0.19,0.18,49.1,45.2,0.42,108,167,61,32,30,3,Sage,Russia
Phillipporter,Obsidian,264,294.5,0.59,154.8,0.62,0.65,0.07,0.04,25.7,59.3,0.41,164,156,172,18,11,3,Killjoy,India
Tylerjoyce,Revolution,143,325.3,1.77,179.9,0.28,0.66,0.25,0.07,29.3,54.3,0.89,40,253,94,36,10,5,Fade,India
Williamssara,Vanguard,278,322.4,1.08,170.2,0.78,0.81,0.18,0.07,40.9,69.7,0.39,217,300,225,50,19,4,Skye,NA
Terri83,Quantum,489,350.0,1.02,176.0,1.87,0.28,0.18,0.18,26.9,19.5,0.6,914,499,137,88,88,3,Phoenix,ASIA
